street_id,street_address,latitude,longitude,ZEDZ(inside =1),pop_distribution,parcel_delivered(#/year),parcel_delivered(#/day),parcel_delivered(kg/day),USPS_Depot_name,USPS_Depot_parcel(kg),UPS_Depot_name,UPS_Depot_parcel(kg),Amazon_Depot_name,Amazon_Depot_Depot_parcel(kg),FedEX_Depot_name,FedEX_Depot_parcel(kg)
113,"9th Street, Santa Monica, CA90402",34.0268321,-118.4978285,0,214.7477404,6012.936732,16.47379927,18.12117919,depot-1,6.886048093,depot-9,4.349083006,depot-10,3.80544763,depot-12,3.261812255
114,"9th Street, Santa Monica, CA90403",34.027126,-118.498994,0,214.7477404,6012.936732,16.47379927,18.12117919,depot-1,6.886048093,depot-9,4.349083006,depot-10,3.80544763,depot-12,3.261812255
115,"9th Street, Santa Monica, CA90404",34.0190827,-118.4875016,0,151.2892687,4236.099524,11.60575212,12.76632733,depot-5,4.851204387,depot-9,3.06391856,depot-10,2.68092874,depot-12,2.29793892
116,"Adelaide Drive, Santa Monica, CA90402",34.0320396,-118.5097061,0,382.9680475,10723.10533,29.37837077,32.31620785,depot-1,12.28015898,depot-9,7.755889883,depot-10,6.786403648,depot-11,5.816917412
117,"Adelaide Place, Santa Monica, CA90402",34.0320396,-118.5097061,0,382.9680475,10723.10533,29.37837077,32.31620785,depot-1,12.28015898,depot-9,7.755889883,depot-10,6.786403648,depot-11,5.816917412
118,"Airport Avenue, Santa Monica, CA90405",34.0178143,-118.4473286,0,478.7812855,13405.87599,36.72842738,40.40127012,depot-8,15.35248265,depot-9,9.696304829,depot-10,8.484266725,depot-15,7.272228622
119,"Alisal Court, Santa Monica, CA90402",34.0406633,-118.509218,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-12,0
120,"Alisal Lane, Santa Monica, CA90402",34.0402818,-118.5095849,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-12,0
121,"Alta Avenue, Santa Monica, CA90402",34.0247671,-118.5089937,0,382.9680475,10723.10533,29.37837077,32.31620785,depot-1,12.28015898,depot-9,7.755889883,depot-10,6.786403648,depot-11,5.816917412
122,"Amalfi Court, Santa Monica, CA90402",34.0330676,-118.5116388,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
123,"Amalfi Drive, Santa Monica, CA90402",34.0323474,-118.5132699,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
124,"Appian Way, Santa Monica, CA90401",34.0075098,-118.4924572,1,176.441435,4940.36018,13.53523337,14.88875671,depot-5,5.657727549,depot-9,3.57330161,depot-10,3.126638909,depot-11,2.679976207
125,"Arcadia Terrace, Santa Monica, CA90401",34.0083927,-118.4934689,0,176.441435,4940.36018,13.53523337,14.88875671,depot-5,5.657727549,depot-9,3.57330161,depot-10,3.126638909,depot-11,2.679976207
126,"Arizona Avenue, Santa Monica, CA90401",34.0171162,-118.4972486,1,176.441435,4940.36018,13.53523337,14.88875671,depot-5,5.657727549,depot-9,3.57330161,depot-10,3.126638909,depot-11,2.679976207
127,"Arizona Avenue, Santa Monica, CA90404",34.0265309,-118.4857078,0,258.5636307,7239.78166,19.83501825,21.81852007,depot-3,8.291037628,depot-9,5.236444817,depot-10,4.581889215,depot-12,3.927333613
128,"Arizona Place, Santa Monica, CA90404",34.0194805,-118.495358,1,176.441435,4940.36018,13.53523337,14.88875671,depot-4,5.657727549,depot-9,3.57330161,depot-10,3.126638909,depot-11,2.679976207
129,"Ashland Avenue, Santa Monica, CA90405",34.0001965,-118.4814561,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-11,3.529954103
130,"Ashland Pl N, Santa Monica, CA90405",34.0052557,-118.4732608,0,252.4928963,7069.801097,19.36931807,21.30624988,depot-6,8.096374955,depot-9,5.113499971,depot-10,4.474312475,depot-14,3.835124979
131,"Ashland Place, Santa Monica, CA90405",34.0001965,-118.4814561,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-11,3.529954103
132,"Attilla Road, Santa Monica, CA90402",34.0379788,-118.5169135,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
133,"Barnard Way, Santa Monica, CA90405",34.0016865,-118.4867156,1,225.8317227,6323.288237,17.32407736,19.0564851,depot-6,7.241464337,depot-9,4.573556423,depot-10,4.001861871,depot-11,3.430167318
134,"Bay Street, Santa Monica, CA90405",34.0135437,-118.4787339,0,392.3809358,10986.6662,30.10045535,33.11050088,depot-5,12.58199034,depot-9,7.946520212,depot-10,6.953205185,depot-12,5.959890159
135,"Beach Street, Santa Monica, CA90405",34.0022488,-118.4883355,1,225.8317227,6323.288237,17.32407736,19.0564851,depot-6,7.241464337,depot-9,4.573556423,depot-10,4.001861871,depot-11,3.430167318
136,"Bentley Court, Santa Monica, CA90405",34.0033673,-118.4727189,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-14,3.529954103
137,"Berkeley Street, Santa Monica, CA90403",34.032179,-118.4638579,0,349.9549775,9798.73937,26.84586129,29.53044742,depot-3,11.22157002,depot-9,7.08730738,depot-10,6.201393958,depot-14,5.315480535
138,"Berkeley Street, Santa Monica, CA90404",34.032179,-118.4638579,0,349.9549775,9798.73937,26.84586129,29.53044742,depot-3,11.22157002,depot-9,7.08730738,depot-10,6.201393958,depot-14,5.315480535
139,"Beverly Avenue, Santa Monica, CA90405",34.010893,-118.480957,0,392.3809358,10986.6662,30.10045535,33.11050088,depot-5,12.58199034,depot-9,7.946520212,depot-10,6.953205185,depot-12,5.959890159
140,"Bicknell Avenue, Santa Monica, CA90405",34.0046064,-118.4909489,1,225.8317227,6323.288237,17.32407736,19.0564851,depot-6,7.241464337,depot-9,4.573556423,depot-10,4.001861871,depot-11,3.430167318
141,"Brentwood Terrace, Santa Monica, CA90402",34.0465846,-118.4896548,0,0,0,0,0,depot-2,0,depot-9,0,depot-10,0,depot-13,0
142,"Broadway, Santa Monica, CA90401",34.016159,-118.4916379,1,176.441435,4940.36018,13.53523337,14.88875671,depot-5,5.657727549,depot-9,3.57330161,depot-10,3.126638909,depot-11,2.679976207
143,"Broadway, Santa Monica, CA90404",34.0278368,-118.4768669,0,163.6776194,4582.973344,12.55609135,13.81170049,depot-3,5.248446186,depot-9,3.314808117,depot-10,2.900457103,depot-14,2.486106088
144,"Broadway Street, Santa Monica, CA90401",34.016159,-118.4916379,1,176.441435,4940.36018,13.53523337,14.88875671,depot-5,5.657727549,depot-9,3.57330161,depot-10,3.126638909,depot-11,2.679976207
145,"Broadway Street, Santa Monica, CA90404",34.0278368,-118.4768669,0,163.6776194,4582.973344,12.55609135,13.81170049,depot-3,5.248446186,depot-9,3.314808117,depot-10,2.900457103,depot-14,2.486106088
146,"Brooktree Road, Santa Monica, CA90402",34.0405529,-118.5150756,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
147,"Bryn Mawr Avenue, Santa Monica, CA90405",34.0084754,-118.4655186,0,252.4928963,7069.801097,19.36931807,21.30624988,depot-6,8.096374955,depot-9,5.113499971,depot-10,4.474312475,depot-14,3.835124979
148,"California Avenue, Santa Monica, CA90403",34.0272259,-118.4910083,0,523.3308178,14653.2629,40.14592575,44.16051833,depot-3,16.78099696,depot-9,10.5985244,depot-10,9.273708848,depot-12,7.948893299
149,"California Incline, Santa Monica, CA90403",34.0194536,-118.5051072,0,184.9626955,5178.955475,14.18891911,15.60781102,depot-1,5.930968188,depot-9,3.745874645,depot-10,3.277640314,depot-11,2.809405984
150,"California Pl N, Santa Monica, CA90403",34.037415,-118.4793794,0,580.4784119,16253.39553,44.52985077,48.98283585,depot-2,18.61347762,depot-9,11.7558806,depot-10,10.28639553,depot-13,8.816910453
151,"Carlyle Avenue, Santa Monica, CA90402",34.046956,-118.4905744,0,914.6768518,25610.95185,70.16699137,77.18369051,depot-2,29.32980239,depot-9,18.52408572,depot-10,16.20857501,depot-13,13.89306429
152,"Cedar Street, Santa Monica, CA90405",34.010099,-118.4772463,0,392.3809358,10986.6662,30.10045535,33.11050088,depot-5,12.58199034,depot-9,7.946520212,depot-10,6.953205185,depot-12,5.959890159
153,"Centinela Avenue, Santa Monica, CA90403",34.0378947,-118.467132,0,163.6776194,4582.973344,12.55609135,13.81170049,depot-2,5.248446186,depot-9,3.314808117,depot-10,2.900457103,depot-14,2.486106088
154,"Centinela Avenue, Santa Monica, CA90404",34.0378947,-118.467132,0,163.6776194,4582.973344,12.55609135,13.81170049,depot-2,5.248446186,depot-9,3.314808117,depot-10,2.900457103,depot-14,2.486106088
155,"Channel Lane, Santa Monica, CA90402",34.029798,-118.5174586,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
156,"Chautauqua Boulevard, Santa Monica, CA90402",34.0285607,-118.5194923,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
157,"Chelsea Avenue, Santa Monica, CA90403",34.036444,-118.4814937,0,580.4784119,16253.39553,44.52985077,48.98283585,depot-2,18.61347762,depot-9,11.7558806,depot-10,10.28639553,depot-13,8.816910453
158,"Chelsea Avenue, Santa Monica, CA90404",34.0330557,-118.4766994,0,147.3492423,4125.778785,11.30350352,12.43385387,depot-3,4.724864471,depot-9,2.984124929,depot-10,2.611109313,depot-14,2.238093697
159,"Chelsea Court, Santa Monica, CA90403",34.0155993,-118.4984004,1,176.441435,4940.36018,13.53523337,14.88875671,depot-5,5.657727549,depot-9,3.57330161,depot-10,3.126638909,depot-11,2.679976207
160,"Chelsea Place, Santa Monica, CA90404",34.0330557,-118.4766994,0,147.3492423,4125.778785,11.30350352,12.43385387,depot-3,4.724864471,depot-9,2.984124929,depot-10,2.611109313,depot-14,2.238093697
161,"Clover Street, Santa Monica, CA90405",34.0165406,-118.4567463,0,478.7812855,13405.87599,36.72842738,40.40127012,depot-8,15.35248265,depot-9,9.696304829,depot-10,8.484266725,depot-14,7.272228622
162,"Cloverfield Boulevard, Santa Monica, CA90404",34.026915,-118.471285,0,349.9549775,9798.73937,26.84586129,29.53044742,depot-3,11.22157002,depot-9,7.08730738,depot-10,6.201393958,depot-14,5.315480535
163,"Cloverfield Boulevard, Santa Monica, CA90405",34.0296296,-118.4754413,0,163.6776194,4582.973344,12.55609135,13.81170049,depot-3,5.248446186,depot-9,3.314808117,depot-10,2.900457103,depot-14,2.486106088
164,"Colorado Avenue, Santa Monica, CA90401",34.0199022,-118.4847068,0,151.2892687,4236.099524,11.60575212,12.76632733,depot-5,4.851204387,depot-9,3.06391856,depot-10,2.68092874,depot-12,2.29793892
165,"Colorado Avenue, Santa Monica, CA90404",34.0325149,-118.4692906,0,163.6776194,4582.973344,12.55609135,13.81170049,depot-3,5.248446186,depot-9,3.314808117,depot-10,2.900457103,depot-14,2.486106088
166,"Copeland Court, Santa Monica, CA90405",34.0059166,-118.4802995,1,225.8317227,6323.288237,17.32407736,19.0564851,depot-6,7.241464337,depot-9,4.573556423,depot-10,4.001861871,depot-12,3.430167318
167,"Darlington Avenue, Santa Monica, CA90403",34.0529706,-118.464077,0,0,0,0,0,depot-2,0,depot-9,0,depot-10,0,depot-13,0
168,"Delaware Avenue, Santa Monica, CA90404",34.02226,-118.4720984,0,349.9549775,9798.73937,26.84586129,29.53044742,depot-5,11.22157002,depot-9,7.08730738,depot-10,6.201393958,depot-14,5.315480535
169,"Dewey Place, Santa Monica, CA90405",34.0092271,-118.4580775,0,478.7812855,13405.87599,36.72842738,40.40127012,depot-7,15.35248265,depot-9,9.696304829,depot-10,8.484266725,depot-15,7.272228622
170,"Dewey Street, Santa Monica, CA90405",34.0092271,-118.4580775,0,478.7812855,13405.87599,36.72842738,40.40127012,depot-7,15.35248265,depot-9,9.696304829,depot-10,8.484266725,depot-15,7.272228622
171,"Donald Douglas Loop N, Santa Monica, CA90405",34.0167994,-118.4529489,0,478.7812855,13405.87599,36.72842738,40.40127012,depot-8,15.35248265,depot-9,9.696304829,depot-10,8.484266725,depot-14,7.272228622
172,"Donald Douglas Loop S, Santa Monica, CA90405",34.017216,-118.4470352,0,478.7812855,13405.87599,36.72842738,40.40127012,depot-8,15.35248265,depot-9,9.696304829,depot-10,8.484266725,depot-15,7.272228622
173,"Dorchester Avenue, Santa Monica, CA90404",34.0206946,-118.5005082,0,184.9626955,5178.955475,14.18891911,15.60781102,depot-1,5.930968188,depot-9,3.745874645,depot-10,3.277640314,depot-11,2.809405984
174,"Dryad Court, Santa Monica, CA90402",34.0351593,-118.5103991,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
175,"Dryad Road, Santa Monica, CA90402",34.0351593,-118.5103991,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
176,"E Channel Road, Santa Monica, CA90402",34.0283383,-118.5189364,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
177,"E Ocean Avenue, Santa Monica, CA90401",34.0159981,-118.499712,1,176.441435,4940.36018,13.53523337,14.88875671,depot-5,5.657727549,depot-9,3.57330161,depot-10,3.126638909,depot-11,2.679976207
178,"E Ocean Avenue, Santa Monica, CA90402",34.0230417,-118.5078273,0,382.9680475,10723.10533,29.37837077,32.31620785,depot-1,12.28015898,depot-9,7.755889883,depot-10,6.786403648,depot-11,5.816917412
179,"E Ocean Avenue, Santa Monica, CA90403",34.019002,-118.503172,0,184.9626955,5178.955475,14.18891911,15.60781102,depot-1,5.930968188,depot-9,3.745874645,depot-10,3.277640314,depot-11,2.809405984
180,"E Ocean Avenue, Santa Monica, CA90405",34.0159981,-118.499712,1,176.441435,4940.36018,13.53523337,14.88875671,depot-5,5.657727549,depot-9,3.57330161,depot-10,3.126638909,depot-11,2.679976207
181,"E Rustic Road, Santa Monica, CA90402",34.0474434,-118.490448,0,0,0,0,0,depot-2,0,depot-9,0,depot-10,0,depot-13,0
182,"Entrada Drive, Santa Monica, CA90402",34.0305633,-118.5126796,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
183,"Ermont Place, Santa Monica, CA90402",34.0244025,-118.5133233,0,382.9680475,10723.10533,29.37837077,32.31620785,depot-1,12.28015898,depot-9,7.755889883,depot-10,6.786403648,depot-11,5.816917412
184,"Esparta Way, Santa Monica, CA90402",34.0388512,-118.5087765,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-12,0
185,"Euclid Court, Santa Monica, CA90404",34.0244983,-118.4876624,0,258.5636307,7239.78166,19.83501825,21.81852007,depot-3,8.291037628,depot-9,5.236444817,depot-10,4.581889215,depot-12,3.927333613
186,"Euclid Street, Santa Monica, CA90402",34.028019,-118.4926653,0,523.3308178,14653.2629,40.14592575,44.16051833,depot-4,16.78099696,depot-9,10.5985244,depot-10,9.273708848,depot-12,7.948893299
187,"Euclid Street, Santa Monica, CA90403",34.028019,-118.4926653,0,523.3308178,14653.2629,40.14592575,44.16051833,depot-4,16.78099696,depot-9,10.5985244,depot-10,9.273708848,depot-12,7.948893299
188,"Euclid Street, Santa Monica, CA90404",34.0244983,-118.4876624,0,258.5636307,7239.78166,19.83501825,21.81852007,depot-3,8.291037628,depot-9,5.236444817,depot-10,4.581889215,depot-12,3.927333613
189,"Euclid Street, Santa Monica, CA90405",34.028019,-118.4926653,0,523.3308178,14653.2629,40.14592575,44.16051833,depot-4,16.78099696,depot-9,10.5985244,depot-10,9.273708848,depot-12,7.948893299
190,"Exposition Boulevard, Santa Monica, CA90404",34.030188,-118.4576109,0,349.9549775,9798.73937,26.84586129,29.53044742,depot-3,11.22157002,depot-9,7.08730738,depot-10,6.201393958,depot-14,5.315480535
191,"Foxtail Drive, Santa Monica, CA90402",34.0363396,-118.5067306,0,382.9680475,10723.10533,29.37837077,32.31620785,depot-1,12.28015898,depot-9,7.755889883,depot-10,6.786403648,depot-12,5.816917412
192,"Frank Street, Santa Monica, CA90404",34.0256642,-118.4669173,0,349.9549775,9798.73937,26.84586129,29.53044742,depot-5,11.22157002,depot-9,7.08730738,depot-10,6.201393958,depot-14,5.315480535
193,"Franklin Street, Santa Monica, CA90403",34.0358329,-118.466759,0,163.6776194,4582.973344,12.55609135,13.81170049,depot-3,5.248446186,depot-9,3.314808117,depot-10,2.900457103,depot-14,2.486106088
194,"Franklin Street, Santa Monica, CA90404",34.0358329,-118.466759,0,163.6776194,4582.973344,12.55609135,13.81170049,depot-3,5.248446186,depot-9,3.314808117,depot-10,2.900457103,depot-14,2.486106088
195,"Fraser Avenue, Santa Monica, CA90405",34.0021365,-118.4850248,1,225.8317227,6323.288237,17.32407736,19.0564851,depot-6,7.241464337,depot-9,4.573556423,depot-10,4.001861871,depot-11,3.430167318
196,"Frederick Street, Santa Monica, CA90405",34.0056206,-118.4752876,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-12,3.529954103
197,"Gale Place, Santa Monica, CA90402",34.0421752,-118.5019136,0,914.6768518,25610.95185,70.16699137,77.18369051,depot-2,29.32980239,depot-9,18.52408572,depot-10,16.20857501,depot-12,13.89306429
198,"Georgina Avenue, Santa Monica, CA90402",34.0445785,-118.4947872,0,914.6768518,25610.95185,70.16699137,77.18369051,depot-2,29.32980239,depot-9,18.52408572,depot-10,16.20857501,depot-13,13.89306429
199,"Glenn Avenue, Santa Monica, CA90405",34.0054205,-118.4693845,0,252.4928963,7069.801097,19.36931807,21.30624988,depot-6,8.096374955,depot-9,5.113499971,depot-10,4.474312475,depot-14,3.835124979
200,"Glenn Court, Santa Monica, CA90405",34.0048749,-118.4687024,0,252.4928963,7069.801097,19.36931807,21.30624988,depot-6,8.096374955,depot-9,5.113499971,depot-10,4.474312475,depot-14,3.835124979
201,"Goldsmith Street, Santa Monica, CA90405",34.0148986,-118.4666969,0,392.3809358,10986.6662,30.10045535,33.11050088,depot-5,12.58199034,depot-9,7.946520212,depot-10,6.953205185,depot-14,5.959890159
202,"Grant Street, Santa Monica, CA90405",34.0113701,-118.4809094,0,392.3809358,10986.6662,30.10045535,33.11050088,depot-5,12.58199034,depot-9,7.946520212,depot-10,6.953205185,depot-12,5.959890159
203,"Haldeman Road, Santa Monica, CA90402",34.0404053,-118.5130062,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
204,"Hart Avenue, Santa Monica, CA90405",34.0021051,-118.486326,1,225.8317227,6323.288237,17.32407736,19.0564851,depot-6,7.241464337,depot-9,4.573556423,depot-10,4.001861871,depot-11,3.430167318
205,"Harvard Street, Santa Monica, CA90403",34.0367018,-118.4753591,0,147.3492423,4125.778785,11.30350352,12.43385387,depot-2,4.724864471,depot-9,2.984124929,depot-10,2.611109313,depot-13,2.238093697
206,"Harvard Street, Santa Monica, CA90404",34.0367018,-118.4753591,0,147.3492423,4125.778785,11.30350352,12.43385387,depot-2,4.724864471,depot-9,2.984124929,depot-10,2.611109313,depot-13,2.238093697
207,"High Place, Santa Monica, CA90404",34.0244025,-118.5133233,0,382.9680475,10723.10533,29.37837077,32.31620785,depot-1,12.28015898,depot-9,7.755889883,depot-10,6.786403648,depot-11,5.816917412
208,"Highland Avenue, Santa Monica, CA90405",34.0056263,-118.4783424,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-12,3.529954103
209,"Hightree Road, Santa Monica, CA90402",34.0379788,-118.5169135,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
210,"Hill Pl N, Santa Monica, CA90405",34.0001965,-118.4814561,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-11,3.529954103
211,"Hill Street, Santa Monica, CA90405",34.0018039,-118.4816758,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-11,3.529954103
212,"Hillside Lane, Santa Monica, CA90402",34.0337539,-118.518681,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
213,"Hilltree Road, Santa Monica, CA90402",34.0369132,-118.5151209,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
214,"Hollister Avenue, Santa Monica, CA90405",34.0038843,-118.4861685,1,225.8317227,6323.288237,17.32407736,19.0564851,depot-6,7.241464337,depot-9,4.573556423,depot-10,4.001861871,depot-11,3.430167318
215,"Idaho Avenue, Santa Monica, CA90403",34.025857,-118.499352,0,214.7477404,6012.936732,16.47379927,18.12117919,depot-1,6.886048093,depot-9,4.349083006,depot-10,3.80544763,depot-11,3.261812255
216,"Kansas Avenue, Santa Monica, CA90404",34.0238307,-118.463564,0,349.9549775,9798.73937,26.84586129,29.53044742,depot-5,11.22157002,depot-9,7.08730738,depot-10,6.201393958,depot-14,5.315480535
217,"Kensington Road, Santa Monica, CA90405",34.0085291,-118.479941,1,225.8317227,6323.288237,17.32407736,19.0564851,depot-6,7.241464337,depot-9,4.573556423,depot-10,4.001861871,depot-12,3.430167318
218,"Kingman Avenue, Santa Monica, CA90402",34.0388512,-118.5087765,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-12,0
219,"Kinney Street, Santa Monica, CA90405",33.998649,-118.4809364,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-11,3.529954103
220,"la Mesa Drive, Santa Monica, CA90402",34.0462081,-118.4970724,0,914.6768518,25610.95185,70.16699137,77.18369051,depot-2,29.32980239,depot-9,18.52408572,depot-10,16.20857501,depot-13,13.89306429
221,"la Mesa Way, Santa Monica, CA90402",34.0462081,-118.4970724,0,914.6768518,25610.95185,70.16699137,77.18369051,depot-2,29.32980239,depot-9,18.52408572,depot-10,16.20857501,depot-13,13.89306429
222,"Larkin Place, Santa Monica, CA90402",34.0356274,-118.5072203,0,382.9680475,10723.10533,29.37837077,32.31620785,depot-1,12.28015898,depot-9,7.755889883,depot-10,6.786403648,depot-11,5.816917412
223,"Latimer Road, Santa Monica, CA90402",34.038924,-118.5143374,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
224,"Lincoln Boulevard, Santa Monica, CA90401",34.0193583,-118.4906837,0,151.2892687,4236.099524,11.60575212,12.76632733,depot-5,4.851204387,depot-9,3.06391856,depot-10,2.68092874,depot-12,2.29793892
225,"Lincoln Boulevard, Santa Monica, CA90402",34.0068498,-118.4752176,0,252.4928963,7069.801097,19.36931807,21.30624988,depot-6,8.096374955,depot-9,5.113499971,depot-10,4.474312475,depot-12,3.835124979
226,"Lincoln Boulevard, Santa Monica, CA90403",34.0269959,-118.499626,0,214.7477404,6012.936732,16.47379927,18.12117919,depot-1,6.886048093,depot-9,4.349083006,depot-10,3.80544763,depot-11,3.261812255
227,"Lincoln Boulevard, Santa Monica, CA90404",34.0065606,-118.4746739,0,252.4928963,7069.801097,19.36931807,21.30624988,depot-6,8.096374955,depot-9,5.113499971,depot-10,4.474312475,depot-12,3.835124979
228,"Lincoln Boulevard, Santa Monica, CA90405",34.0065606,-118.4746739,0,252.4928963,7069.801097,19.36931807,21.30624988,depot-6,8.096374955,depot-9,5.113499971,depot-10,4.474312475,depot-12,3.835124979
229,"Lincoln Court, Santa Monica, CA90401",34.0054235,-118.4738569,0,252.4928963,7069.801097,19.36931807,21.30624988,depot-6,8.096374955,depot-9,5.113499971,depot-10,4.474312475,depot-14,3.835124979
230,"Lincoln Court, Santa Monica, CA90403",34.0054235,-118.4738569,0,252.4928963,7069.801097,19.36931807,21.30624988,depot-6,8.096374955,depot-9,5.113499971,depot-10,4.474312475,depot-14,3.835124979
231,"Linda Lane, Santa Monica, CA90405",34.0061056,-118.4661698,0,252.4928963,7069.801097,19.36931807,21.30624988,depot-7,8.096374955,depot-9,5.113499971,depot-10,4.474312475,depot-14,3.835124979
232,"Lipton Avenue, Santa Monica, CA90403",34.0385768,-118.4739069,0,147.3492423,4125.778785,11.30350352,12.43385387,depot-2,4.724864471,depot-9,2.984124929,depot-10,2.611109313,depot-13,2.238093697
